booth_code,exhibitor_name
J33,SANDESHAYA
J34,SANDESHAYA
J35,SAMA PUBLISHERS
J36,SUNERA PUBLISHERS
J37,SUNERA PUBLISHERS
J38,SAMUDRA PUBLISHERS
J39,SAMUDRA PUBLISHERS
J40,SAMUDRA PUBLISHERS
J41,SAMUDRA PUBLISHERS
J42,ASHIRWADHA
J43,GODAGE
J44,SUSARA PUBLICATIONS
J45,SUSARA PUBLICATIONS
J46,SUSARA PUBLICATIONS
J47,SUSARA PUBLICATIONS
J48,SUSARA PUBLICATIONS
J49,IMASHI PUBLISHERS
J50,IMASHI PUBLISHERS
J51,IMASHI PUBLISHERS
J52,S.D.WIJETHUNGA PUBLICATIONS
J53,S.D.WIJETHUNGA PUBLICATIONS
J54,ARIYA PUBLISHERS
J54 - A,ARIYA PUBLISHERS
J55,WASANA BOOKSHOP
J56,WASANA BOOKSHOP
J57,WASANA BOOKSHOP
J58,AKURA BOOK PUBLISHERS
J59,AKURA
J60,AKURA
J61,AKURA
J62,AKURA
J63,AKURA
J64,WASANA BOOKSHOP
J65,WASANA BOOKSHOP
J66,WASANA BOOKSHOP
J67,MALPIYALI PUBLISHERS PRIVATE LIMITED
J67-A,MALPIYALI PUBLISHERS PRIVATE LIMITED
J68,MULTI BOOK SHOP
J69,MULTI BOOK SHOP
J70,IMASHI PUBLISHERS
J71,IMASHI PUBLISHERS
J72,IMASHI PUBLISHERS
J73,SUSARA PUBLICATIONS
J74,SUSARA PUBLICATIONS
J75,SUSARA PUBLICATIONS
J76,SUSARA PUBLICATIONS
J77,SUSARA PUBLICATIONS
K01,WEERODARA
K02,JEYA BOOK
K03,KAVIVARA PUBLISHERS
K04,KAVIVARA PUBLISHERS
K05,KEHELI PRAKASHAKAYO
K06,KEHELI PRAKASHAKAYO
K07,KEHELI PRAKASHAKAYO
K08,GRANTHA PRIVATE LIMITED
K09,GRANTHA PRIVATE LIMITED
K12,AHAS PUBLISHERS
K13,PILOT PENS
K14,STATE PRINTING CORPORATION
K15,STATE PRINTING CORPORATION
K19,DIYALUMA PUBLISHERS
K20,SANDAMADAVEE PUBLISHERS
K21,SAKURA ART STORE
K22,BUDDHI PUBLISHERS
K23,SANDINI BOOK PUBLISHERS
K24,SANDINI BOOK PUBLISHERS
K25,SANDINI BOOK PUBLISHERS
K26,SANDINI BOOK PUBLISHERS
K27,SILIKA PUBLICATIONS
K28,SILIKA PUBLICATIONS
K31,NICHOLI BOOK SHOP
K32,NICHOLI BOOK SHOP
K33,DEPARTMENT OF OFFICIAL LANGUAGES
K34,SURENDRA PRAKASHANA
K35,SARVODAYA VISHVA LEKHA
K36,NATIONAL INSTITUTE OF EDUCATION
K37,SHRIWI PUBLISHERS
K38,SANTHAWA PRAKASHANA
K39,SANTHAWA PRAKASHANA
L,GODAGE PUBLUSHER
M,SARASAVI
P,MUSES BOOKS
Q,MASTER GUIDE
R,RATHNA
S,BUDDHIST CULTURAL CENTRE
T,PACKSCO
